BID,NODE,CAUSE,CAUSE_PHY,CHAINED,DEPTH_M,MARGIN_M,LIFT_M,GROUND,RUN_M,RUN_N,GFALL_M,PFALL_M,GGRAD_PCT,PGRAD_PCT,RIDGE_M,RIDGE_D,DSFALL_M,DSDIST_M,MAXREACH,QADF_M3D,QPK_LS,PLOTS_UP,SUBNET,SREQ_PCT,SREQM_PCT,DN_REQ,DN_NOW,STRACT_PCT,REDUCIBLE,SLACK_M,SLACKMID_M,RED_FULL,SLACKFUL_M,FULL_M,FULL_N,RED_T11,SLACK_T11,UPSIZE_KM,DN_UP,LINK_PCT,AUTO_PCT,WADI_PCT,HAZ_COV,E_REASON,ARTFALL_M,EMPTY_KM,ALT_N,ALT_DZ_M,LOWFLOW,HEAD,CHAIN_RT,CHAIN_POS,RED_SEQ,SLACKSEQ,RED_SEQT11,BLOCKER,FIX
196,36655,B,B,0,13.11,1.11,11.51,415.74,1980.3,37,-1.61,9.9,-0.0813,0.5,2.51,773.5,0.0,0.0,290.9,11.3,0.56,36,2,0.4438,-0.3182,250,200,0.4669,0,-0.41,-1.26,0,-0.41,1980.3,37,1,2.28,1.98,250,22.0,100.0,0.0,72.0,-,0.0,1.98,0,0.0,1,37004,36655,0,0,-0.41,1,TRACTIVE,NO SEWER / RETHINK
197,38181,C,C,0,13.47,1.47,11.87,432.7,52.7,4,-11.61,0.26,-22.0136,0.5,11.61,52.7,16.89,75.6,24.7,25.1,0.0,17,2,-2.2861,-2.2861,0,200,0.4669,0,-1.4,-1.4,0,-1.4,52.7,4,0,-1.84,0.053,250,0.0,100.0,0.0,0.0,-,0.0,0.053,0,0.0,1,38166,38181,0,0,-1.4,0,GROUND,STATION
198,38183,C,C,0,20.4,8.4,18.8,433.0,551.1,12,-16.04,2.76,-2.9112,0.5,16.21,499.6,17.19,89.0,177.8,25.1,1.07,17,2,-1.024,-1.024,0,200,0.4669,0,-8.17,-8.17,0,-8.17,551.1,12,0,-6.66,0.551,250,28.3,100.0,0.0,58.3,-,0.0,0.507,0,0.0,1,38140,38183,0,0,-8.17,0,GROUND,STATION
199,39032,E,E,0,14.51,2.51,12.91,434.0,139.5,5,-12.21,0.7,-8.7556,0.5,12.21,139.5,17.37,1771.1,64.0,0.0,0.0,0,2,-1.3002,-1.3002,0,200,0.4669,0,-2.41,-2.41,0,-2.41,139.5,5,0,-2.52,0.139,250,90.6,100.0,0.0,0.0,LINK,0.0,0.139,0,0.0,1,39091,39032,0,0,-2.41,0,GROUND,DELETE CORRIDOR
200,39100,C,C,0,12.6,0.6,11.0,429.8,110.9,4,-10.45,0.55,-9.4214,0.5,10.45,110.9,12.56,1565.3,39.0,1.1,0.01,1,2,-0.0428,-0.0428,0,200,0.4669,0,-0.52,-0.52,0,-0.52,110.9,4,0,-0.73,0.111,250,0.0,100.0,0.0,0.0,-,0.0,0.111,0,0.0,1,39117,39100,0,0,-0.52,0,GROUND,STATION
201,40277,E,E,0,13.57,1.57,11.97,442.83,195.7,5,-11.0,0.98,-5.619,0.5,11.0,195.7,10.86,1531.7,97.3,6.5,0.28,7,8,-0.3042,-0.4808,0,200,0.4669,0,-1.46,-1.49,0,-1.46,195.7,5,0,-1.34,0.196,250,49.7,100.0,0.0,0.0,LINK,0.0,0.196,0,0.0,1,40345,40277,0,0,-1.46,0,GROUND,DELETE CORRIDOR
202,40357,E,E,0,12.29,0.29,10.69,436.23,914.5,20,-6.12,4.57,-0.6693,0.5,6.83,276.4,1.57,1846.9,166.2,136.7,5.42,113,8,0.4679,0.4679,250,200,0.4669,1,1.48,1.48,1,1.48,914.5,20,1,2.99,0.915,250,59.9,100.0,0.0,42.9,LINK,0.0,0.034,0,0.0,0,42057,40357,0,1,1.48,1,-,DELETE CORRIDOR
203,40237,D,C,1,12.91,0.91,11.31,444.44,619.5,21,-8.21,3.1,-1.3259,0.5,8.21,619.5,14.09,1671.3,83.6,177.8,6.55,155,8,0.3528,0.3528,315,200,0.2574,1,0.58,0.58,0,-8.25,1534.0,40,0,-5.69,0.62,315,33.6,100.0,0.0,40.0,-,0.0,0.0,0,0.0,0,40357,40357,1,0,-8.25,0,GROUND,STATION
204,40927,C,C,0,12.47,0.47,10.87,427.68,1723.5,22,-2.25,8.62,-0.1304,0.5,2.56,1435.6,1.73,1515.8,432.4,90.2,3.59,102,12,0.473,0.473,250,200,0.4669,1,0.46,0.46,1,0.46,1723.5,22,1,6.26,1.724,250,10.7,100.0,0.0,77.2,-,0.0,0.522,0,0.0,1,40888,40927,0,1,0.46,1,-,UPSIZE
205,42065,C,C,0,12.14,0.14,10.54,437.08,587.9,12,-7.6,2.94,-1.2925,0.5,7.8,338.8,7.68,1139.8,227.4,44.0,1.85,40,8,0.4764,0.4764,250,200,0.4669,1,0.14,0.14,1,0.14,587.9,12,1,1.76,0.588,250,10.2,100.0,0.0,38.5,-,0.0,0.278,0,0.0,1,42072,42065,0,1,0.14,1,-,UPSIZE
206,42119,C,C,0,13.6,1.6,12.0,438.97,331.7,8,-10.34,1.66,-3.1162,0.5,10.34,331.7,9.57,1053.7,127.3,56.9,2.4,52,8,0.0191,0.0191,0,200,0.4669,0,-1.41,-1.41,0,-1.41,331.7,8,0,-0.79,0.332,250,25.4,100.0,0.0,12.5,-,0.0,0.3,0,0.0,1,42161,42119,0,0,-1.41,0,GROUND,STATION
207,44699,C,C,0,12.42,0.42,10.82,449.95,69.8,4,-10.47,0.35,-15.0071,0.5,10.47,69.8,17.32,1740.9,26.4,1.1,0.05,2,34,-0.1065,-0.1065,0,200,0.4669,0,-0.35,-0.35,0,-0.35,69.8,4,0,-0.73,0.07,250,0.0,100.0,0.0,0.0,-,0.0,0.07,0,0.0,1,44684,44699,0,0,-0.35,0,GROUND,STATION
208,44720,C,C,0,13.39,1.39,11.79,445.88,616.0,20,-8.71,3.08,-1.4138,0.5,8.71,616.0,13.26,1749.0,86.1,76.8,2.28,78,34,0.2745,0.2745,315,200,0.4669,0,-0.91,-0.91,0,-0.91,616.0,20,1,0.63,0.616,250,21.3,100.0,0.0,16.7,-,0.0,0.261,0,0.0,1,44746,44720,0,0,-0.91,1,TRACTIVE,NO SEWER / RETHINK
209,44722,C,C,0,12.76,0.76,11.16,448.51,274.5,13,-9.79,1.37,-3.566,0.5,9.97,111.3,15.89,1767.3,39.4,22.3,0.94,24,34,0.2232,0.2232,400,200,0.4669,0,-0.62,-0.62,0,-0.62,274.5,13,0,-0.19,0.274,250,19.9,100.0,0.0,0.0,-,0.0,0.274,0,0.0,1,44823,44722,0,0,-0.62,0,GROUND,STATION
210,45125,C,C,0,12.08,0.08,10.48,440.72,1306.9,22,-3.95,6.53,-0.3021,0.5,4.03,1276.0,4.04,1537.9,277.5,285.0,10.14,267,13,0.4937,0.4937,250,200,0.4669,1,2.53,2.53,1,2.53,1306.9,22,1,4.87,1.307,250,6.4,100.0,0.0,75.7,-,0.0,0.213,0,0.0,0,45003,45125,0,1,2.53,1,-,UPSIZE
211,46538,E,E,0,15.83,3.83,14.23,458.34,665.3,8,-10.9,3.33,-1.639,0.5,10.9,665.3,14.3,1538.2,310.8,2.6,0.13,8,12,-0.0758,-0.0758,0,200,0.4669,0,-3.56,-3.56,0,-3.56,665.3,8,0,-1.6,0.665,250,75.2,100.0,0.0,62.5,LINK,0.0,0.665,0,0.0,1,46615,46538,0,0,-3.56,0,GROUND,DELETE CORRIDOR
212,48198,E,E,0,19.53,7.53,17.93,495.12,731.3,20,-14.27,3.66,-1.9521,0.5,14.27,731.3,12.84,1965.7,157.2,12.6,0.55,22,40,-0.5299,-0.5299,0,200,0.4669,0,-7.24,-7.24,0,-7.24,731.3,20,0,-5.02,0.731,250,67.7,100.0,75.0,33.3,LINK,0.0,0.731,0,0.0,1,48218,48198,0,0,-7.24,0,GROUND,DELETE CORRIDOR
213,48201,E,E,0,15.02,3.02,13.42,497.91,117.2,4,-12.84,0.59,-10.9564,0.5,12.84,117.2,15.64,1837.9,74.3,18.0,0.14,27,40,-2.0801,-2.0801,0,200,0.4669,0,-2.93,-2.93,0,-2.93,117.2,4,0,-3.12,0.117,250,63.4,100.0,0.0,0.0,LINK,0.0,0.117,0,0.0,1,48197,48201,0,0,-2.93,0,GROUND,DELETE CORRIDOR
214,48473,E,E,0,12.79,0.79,11.19,491.85,1097.4,29,-5.7,5.49,-0.5193,0.5,6.38,831.9,8.96,1524.3,92.0,36.2,1.28,41,14,0.4284,0.4284,250,200,0.4669,0,-0.37,-0.37,0,-0.37,1097.4,29,1,3.28,1.097,250,44.6,100.0,75.0,21.1,LINK,0.0,0.947,0,0.0,1,48408,48473,0,0,-0.37,1,TRACTIVE,DELETE CORRIDOR
215,48874,E,E,0,15.69,3.69,14.09,451.56,663.9,15,-10.77,3.32,-1.6224,0.5,11.55,189.1,16.51,1355.4,184.8,4.8,0.19,5,25,-0.0559,-0.0559,0,200,0.4669,0,-3.42,-3.42,0,-3.42,663.9,15,0,-1.47,0.664,250,60.0,100.0,0.0,61.1,LINK,0.0,0.664,0,0.0,1,48818,48874,0,0,-3.42,0,GROUND,DELETE CORRIDOR
216,49769,C,C,0,12.36,0.36,10.76,513.11,758.6,10,-6.97,3.79,-0.9189,0.5,6.97,758.6,15.13,1840.3,138.6,166.6,5.88,147,54,0.4521,0.4521,250,200,0.4669,1,0.66,0.66,1,0.66,758.6,10,1,2.26,0.759,250,6.8,100.0,0.0,0.0,-,0.0,0.188,0,0.0,0,49885,49769,0,1,0.66,1,-,UPSIZE
217,54381,E,E,0,12.51,0.51,10.91,398.81,822.9,16,-6.79,4.11,-0.8257,0.5,6.79,822.9,9.03,1783.1,145.6,41.1,1.7,65,37,0.4381,0.4381,250,200,0.4669,0,-0.1,-0.1,0,-0.1,822.9,16,1,2.39,0.823,250,53.7,100.0,89.5,95.0,LINK,0.0,0.481,0,0.0,1,43111,54381,0,0,-0.1,1,TRACTIVE,DELETE CORRIDOR
218,57325,B,B,0,12.34,0.34,10.74,333.73,1321.3,11,-4.14,6.61,-0.313,0.5,5.62,1022.6,0.0,0.0,298.7,627.6,4.54,276,-1,0.4741,0.4741,250,200,0.4669,1,1.3,1.3,1,1.3,1321.3,11,1,4.67,1.321,250,0.0,0.0,0.0,76.9,-,0.0,0.468,0,0.0,1,13201,57325,0,1,1.3,1,-,UPSIZE
219,57359,E,E,0,12.56,0.56,10.96,382.13,926.4,3,-6.33,4.63,-0.6835,0.5,6.33,926.4,1.33,1485.0,850.2,1642.2,0.06,1747,-1,0.4391,0.2576,250,200,0.4669,0,-0.21,-1.84,0,-0.21,926.4,3,1,2.77,0.926,250,0.0,91.8,61.0,95.3,WADI,0.0,0.926,0,0.0,1,21571,57359,0,0,-0.21,1,TRACTIVE,DELETE CORRIDOR
220,57439,E,E,0,20.51,8.51,18.91,328.72,3667.1,14,-0.92,18.0,-0.025,0.4908,3.4,1383.4,0.0,-1.0,2526.2,73442.0,1361.05,62615,-1,0.2586,0.2581,400,1200,0.4669,1,3.7,2.79,1,3.7,3667.1,14,1,6.13,0.787,250,0.0,0.0,0.0,34.9,SIZING,11.9,0.671,0,0.0,0,10144,57439,0,1,3.7,1,-,DELETE CORRIDOR
